date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:18	25178354/25178354	---M--	200	added ('OK')	video/mp4	etag:W/%2218030f2-17efe7274b3%22	https://www.hackerx.xyz/main/videos/fortniteexe.mp4	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/videos/fortniteexe.mp4	(from https://www.hackerx.xyz/main/)
20:56:20	9200/9200	---M--	200	added ('OK')	image/png	etag:W/%2223f0-17f51776d72%22	https://www.twentyonecore.com/database/thumbnail.png	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/thumbnail.png	(from https://www.hackerx.xyz/main/)
20:56:22	1852/1852	---M--	200	added ('OK')	image/jpeg	etag:W/%2273c-17f5178651f%22	https://www.twentyonecore.com/database/temp_profile.jpg	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/temp_profile.jpg	(from https://www.hackerx.xyz/main/)
20:56:23	31377715/31377715	---M--	200	added ('OK')	video/mp4	etag:W/%221dec933-17efe7274b3%22	https://www.hackerx.xyz/main/videos/Asteris0.mp4	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/videos/Asteris0.mp4	(from https://www.hackerx.xyz/main/)
20:56:24	1993/1993	---M--	200	added ('OK')	image/jpeg	etag:W/%227c9-17f5178f6e7%22	https://www.twentyonecore.com/database/temp_profile2.jpg	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/temp_profile2.jpg	(from https://www.hackerx.xyz/main/)
20:56:25	670/670	---M--	200	added ('OK')	image/jpeg	etag:W/%2229e-17f51797df5%22	https://www.twentyonecore.com/database/temp_profile3.jpg	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/temp_profile3.jpg	(from https://www.hackerx.xyz/main/)
20:56:27	2073/2073	---M--	200	added ('OK')	image/jpeg	etag:W/%22819-17f5179ea27%22	https://www.twentyonecore.com/database/temp_profile4.jpg	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/temp_profile4.jpg	(from https://www.hackerx.xyz/main/)
20:56:28	74397/74397	---M--	200	added ('OK')	image/png	etag:W/%221229d-17f4c34d3e0%22	https://www.twentyonecore.com/images/hackerxlogo.png	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/images/hackerxlogo.png	(from https://www.hackerx.xyz/main/)
20:56:29	53999/53999	---M--	200	added ('OK')	image/png	etag:W/%22d2ef-17f7d423767%22	https://www.twentyonecore.com/database/image-removebg-preview%20(2).png	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/image-removebg-preview%20(2).png	(from https://www.hackerx.xyz/main/)
20:56:30	868599/868599	---M-Z	200	added ('OK')	application/javascript	etag:%226543b6ea46650c0e6449137f0217600e%22	https://vjs.zencdn.net/5-unsafe/video.js	C:/My%20Web%20Sites/sitex/vjs.zencdn.net/5-unsafe/video.js	(from https://www.hackerx.xyz/main/)
20:56:30	5757/5757	---MCZ	200	added ('OK')	application/javascript	etag:W/%22167d-17f18fd08fc%22	https://www.hackerx.xyz/main/script.js	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/script.js	(from https://www.hackerx.xyz/main/)
20:56:31	219/219	---M--	200	added ('OK')	image/png	etag:W/%22db-17f0d6eb4ae%22	https://www.hackerx.xyz/main/Cursors/cursor.png	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/Cursors/cursor.png	(from https://www.hackerx.xyz/main/style.css)
20:56:32	89407731/89407731	---M--	200	added ('OK')	video/mp4	etag:W/%2255440f3-17efe7274b3%22	https://www.hackerx.xyz/main/videos/tutorial.mp4	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/videos/tutorial.mp4	(from https://www.hackerx.xyz/main/)
20:56:32	79118/79118	---M--	200	added ('OK')	image/png	etag:W/%221350e-17f5173edfc%22	https://www.twentyonecore.com/database/hackerxlogo3.png	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/hackerxlogo3.png	(from https://www.hackerx.xyz/main/style.css)
20:56:34	22640/22640	---MCZ	200	added ('OK')	text/css	etag:W/%225870-17efe7274b3%22	https://www.hackerx.xyz/main/streaming/stile.css	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/streaming/stile.css	(from https://www.hackerx.xyz/main/streaming/)
20:56:34	1034754/1034754	---M--	200	added ('OK')	image/png	etag:W/%22fca02-17f51746137%22	https://www.twentyonecore.com/database/V3.png	C:/My%20Web%20Sites/sitex/www.twentyonecore.com/database/V3.png	(from https://www.hackerx.xyz/main/style.css)
20:56:34	195/195	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Apr%202022%2017:56:35%20GMT	https://www.hackerx.xyz/main/streaming	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/streaming.1f.delayed	(from https://www.hackerx.xyz/main/streaming/)
20:56:35	193/193	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Apr%202022%2017:56:35%20GMT	https://www.hackerx.xyz/main/playlist	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/playlist	(from https://www.hackerx.xyz/main/streaming/)
20:56:35	193/193	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Apr%202022%2017:56:35%20GMT	https://www.hackerx.xyz/main/bookmark	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/bookmark	(from https://www.hackerx.xyz/main/streaming/)
20:56:35	11679/11679	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Feb%202022%2017:33:40%20GMT	https://www.hackerx.xyz/main/bookmark/	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/bookmark/index.html	(from https://www.hackerx.xyz/main/streaming/)
20:56:35	2951/2951	---M--	200	added ('OK')	image/jpeg	etag:%22bee1ae129532338fb123e4c2fbdaa142%22	https://i.stack.imgur.com/YaL3s.jpg	C:/My%20Web%20Sites/sitex/i.stack.imgur.com/YaL3s.jpg	(from https://www.hackerx.xyz/main/streaming/)
20:56:36	8226/8226	---M--	200	added ('OK')	image/png	etag:W/%222022-17f6c33cee8%22	https://replit.com/public/icons/apple-icon-180.png	C:/My%20Web%20Sites/sitex/replit.com/public/icons/apple-icon-180.png	(from https://www.hackerx.xyz/main/streaming/)
20:56:36	1716/1716	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Feb%202022%2022:22:35%20GMT	https://www.hackerx.xyz/main/streaming/script.js	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/streaming/script.js	(from https://www.hackerx.xyz/main/streaming/)
20:56:36	0/-1	---M--	301	error ('')			https://www.hackerx.xyz/main/streaming	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/streaming.26.delayed	(from https://www.hackerx.xyz/main/playlist/)
20:56:37	22640/22640	---MCZ	200	added ('OK')	text/css	etag:W/%225870-17efe7274b3%22	https://www.hackerx.xyz/main/playlist/stile.css	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/playlist/stile.css	(from https://www.hackerx.xyz/main/playlist/)
20:56:37	193/193	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Apr%202022%2017:56:38%20GMT	https://www.hackerx.xyz/main/playlist	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/playlist.27.delayed	(from https://www.hackerx.xyz/main/playlist/)
20:56:38	1716/1716	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Feb%202022%2022:22:35%20GMT	https://www.hackerx.xyz/main/playlist/script.js	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/playlist/script.js	(from https://www.hackerx.xyz/main/playlist/)
